order_id,order_date,customer_id,region_code,market,category,channel,quantity,unit_price,discount_pct,order_amount,cogs
O-00001,2025-07-01,C-0719,APAC,Southeast Asia,Services,Partner,42,185.77,0.3500,5071.52,4997.58
O-00002,2025-07-01,C-0134,EU,UK & Ireland,Services,Partner,2,383.70,0.3453,502.41,486.56
O-00003,2025-07-01,C-0022,APAC,Southeast Asia,Software,Online,88,600.95,0.2511,39606.05,15818.88
O-00004,2025-07-01,C-0325,US,US East,Software,Partner,90,869.83,0.3368,51914.81,22797.90
O-00005,2025-07-01,C-0591,EU,DACH,Hardware,Partner,18,373.56,0.3395,4441.58,4558.68
O-00006,2025-07-01,C-0063,EU,UK & Ireland,Hardware,Partner,6,857.63,0.3500,3344.76,3483.36
O-00007,2025-07-01,C-0255,EU,UK & Ireland,Hardware,Partner,1,580.74,0.3500,377.48,380.55
O-00008,2025-07-01,C-0719,APAC,Southeast Asia,Software,Partner,75,71.69,0.3500,3494.89,1659.00
O-00009,2025-07-01,C-0767,US,US East,Services,Online,33,327.46,0.2613,7982.76,6596.70
O-00010,2025-07-01,C-0110,EU,DACH,Services,Partner,8,373.78,0.3413,1969.62,1858.48
O-00011,2025-07-01,C-0007,EU,Southern Europe,Software,Direct,95,832.70,0.3500,51419.22,24305.75
O-00012,2025-07-01,C-0599,EU,UK & Ireland,Hardware,Partner,12,3828.16,0.3475,29976.11,31222.32
O-00013,2025-07-01,C-0583,EU,Benelux & Nordics,Hardware,Direct,7,1733.02,0.3500,7885.24,8272.18
O-00014,2025-07-01,C-0699,US,US Central,Services,Partner,39,187.12,0.3353,4851.08,4565.34
O-00015,2025-07-01,C-0186,APAC,ANZ,Hardware,Partner,8,1891.18,0.3489,9851.51,10132.08
O-00016,2025-07-01,C-0368,EU,DACH,Hardware,Online,1,4122.39,0.2593,3053.56,2721.60
O-00017,2025-07-01,C-0693,EU,Southern Europe,Hardware,Partner,1,1077.31,0.3500,700.25,720.49
O-00018,2025-07-01,C-0361,US,US East,Support & CS,Online,5,1380.23,0.2300,5313.81,3690.05
O-00019,2025-07-01,C-0612,EU,UK & Ireland,Hardware,Direct,18,3254.61,0.3500,38078.94,40184.46
O-00020,2025-07-01,C-0668,EU,DACH,Software,Online,103,673.09,0.2777,50073.11,20954.32
O-00021,2025-07-01,C-0268,EU,UK & Ireland,Software,Partner,84,394.18,0.3500,21522.23,10050.60
O-00022,2025-07-01,C-0744,US,US East,Software,Partner,39,96.68,0.3500,2450.84,1087.32
O-00023,2025-07-01,C-0222,US,US Central,Software,Partner,114,699.32,0.3500,51819.61,23395.08
O-00024,2025-07-01,C-0566,US,US West,Hardware,Partner,8,2923.21,0.3500,15200.69,15083.20
O-00025,2025-07-01,C-0009,US,US West,Software,Online,63,583.95,0.2667,26976.55,10626.84
O-00026,2025-07-01,C-0306,APAC,Japan,Software,Partner,104,825.78,0.3500,55822.73,26101.92
O-00027,2025-07-01,C-0259,EU,Southern Europe,Hardware,Partner,3,849.54,0.3304,1706.68,1727.10
O-00028,2025-07-01,C-0791,US,US West,Support & CS,Online,5,1820.65,0.2744,6605.04,4866.95
